Device,FQN,Vendor,OS,"OS Version",Model,"Management Address",Source,"Command Files"
gbedimo1hap001,gbedimo1hap001,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.210.88,cdp,0
gbedimo1hap002,gbedimo1hap002,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.210.62,cdp,0
gbedimo1hap003,gbedimo1hap003,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.211.61,cdp,0
gbedimo1hap004,gbedimo1hap004,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.210.78,cdp,0
gbedimo1hap005,gbedimo1hap005,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.210.64,cdp,0
gbedimo1hap006,gbedimo1hap006,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.210.79,cdp,0
gbedimo1hap007,gbedimo1hap007,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.15.211.47,cdp,0
gbedimo1hap008,gbedimo1hap008,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.211.39,cdp,0
gbedimo1hap009,gbedimo1hap009,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.210.65,cdp,0
gbedimo1rtr001,gbedimo1rtr001.hm.com,Cisco,XE,15.5(3)S5,ISR4431/K9,10.20.14.76,managed,34
gbedimo1rtr002,gbedimo1rtr002.hm.com,Cisco,XE,15.5(3)S5,ISR4431/K9,10.20.14.77,managed,34
gbedimo1rtr003,gbedimo1rtr003.hm.com,Cisco,XE,3.6.3E,WS-C4500X-16,10.15.215.252,managed,39
gbedimo1swi001,gbedimo1swi001.hm.com,Cisco,XE,3.6.8E,WS-C3650-48PD,10.15.211.141,managed,34
gbedimo1swi002,gbedimo1swi002.hm.com,Cisco,XE,3.6.8E,WS-C3650-48PD,10.15.210.5,managed,34
gbedimo1swi003,gbedimo1swi003.hm.com,Cisco,XE,3.3.5SE,WS-C3650-24PD,10.15.210.6,managed,33
gbedimo1swi004,gbedimo1swi004.hm.com,Cisco,XE,3.6.8E,WS-C3650-48PD,10.15.210.7,managed,34
gbglaao1hap101,gbglaao1hap101,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.2.37,cdp,0
gbglaao1hap102,gbglaao1hap102,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.2.39,cdp,0
gbglaao1rtr001,"gbglaao1rtr001.vrf MGMT hm.com",Cisco,XE,16.6.4,C1111-8PWE,10.20.13.52,managed,35
gbglaao1swi001,gbglaao1swi001.hm.com,Cisco,XE,3.6.6E,WS-C3650-24PD,10.20.8.163,managed,34
gbleeao1hap201,gbleeao1hap201,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.27.74,cdp,0
